"User_Mac","domain_name","domain_type","web_detail","device","Adult Content","multimedia hosting","Networking/ISP","ad content","microsoft/google/bing","moview review/ticket booking","music hosting","eCommerce","online cloud","Social networking","Travel and Resturants","total"
"ac:9e:17:1b:b8:17",".com","Commercial","microsoft/google/bing",NA,0,0,18,0,9,0,0,28,0,0,0,55
"ac:9e:17:1b:b8:17",".in","indian website","microsoft/google/bing",NA,0,0,18,0,9,0,0,28,0,0,0,55
"ac:9e:17:1b:b8:17",".net","Internet based services","eCommerce",NA,0,0,18,0,9,0,0,28,0,0,0,55
"ac:9e:17:1b:b8:17",".in","indian website","Networking/ISP",NA,0,0,18,0,9,0,0,28,0,0,0,55
"ac:9e:17:1b:b8:17",".com","Commercial","eCommerce",NA,0,0,18,0,9,0,0,28,0,0,0,55
"ac:9e:17:cf:79:78",".com","Commercial",NA,NA,0,0,102,0,3,0,0,0,0,0,0,105
"ac:9e:17:cf:79:78",".com","Commercial","microsoft/google/bing",NA,0,0,102,0,3,0,0,0,0,0,0,105
"ac:9e:17:cf:79:78",".in","indian website","Networking/ISP",NA,0,0,102,0,3,0,0,0,0,0,0,105
"b0:34:95:f1:7d:cc",".in","indian website","Networking/ISP"," Intel M",0,0,7,0,0,0,0,0,0,0,0,7
"b0:df:3a:24:7e:0c",".in","indian website","Networking/ISP"," GT-S7582",0,0,5,0,0,0,0,0,0,0,0,5
"bc:d1:d3:fd:ba:3c",".in","indian website","Networking/ISP"," Spice M",0,0,4,0,0,0,0,0,0,0,0,4
"cc:3a:61:9e:00:32",".in","indian website","Networking/ISP"," SAMSUNG GT",0,0,3,0,0,0,0,0,0,0,0,3
"cc:3a:61:b0:34:78",".in","indian website","Networking/ISP"," SAMSUNG GT",0,0,38,0,0,0,0,0,0,0,0,38
"cc:3a:61:b0:34:78",".in","indian website","Networking/ISP"," GT-I9500",0,0,38,0,0,0,0,0,0,0,0,38
"cc:c3:ea:67:9d:6b",".in","indian website",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cc:c3:ea:a6:7f:9b",".com","Commercial","eCommerce"," XT1033",0,0,0,0,0,0,0,2,0,0,0,2
"d8:3c:69:73:c1:c8",".com","Commercial","ad content"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","ad content",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","ad content"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".in","indian website","Networking/ISP"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".in","indian website","Networking/ISP",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".in","indian website","Networking/ISP"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".mobi","mobile website","music hosting"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".mobi","mobile website","music hosting",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".mobi","mobile website","music hosting"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","music hosting"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","music hosting",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".com","Commercial","music hosting"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".net","Internet based services","music hosting"," Mi",0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".net","Internet based services","music hosting",NA,0,4,66,36,101,0,143,0,3,0,0,353
"d8:3c:69:73:c1:c8",".net","Internet based services","music hosting"," Micromax A106",0,4,66,36,101,0,143,0,3,0,0,353
